id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
338,4,Microsoft,MSFT,41.44,41.35,41.66,41.17,28666700,"2014-04-27 17:29:05.669559"
339,4,Microsoft,MSFT,41.29,41.01,41.29,40.71,30139600,"2014-04-25 17:29:05.669559"
340,4,Microsoft,MSFT,41.25,39.87,41.39,39.64,51409600,"2014-04-23 17:29:05.669559"
341,4,Microsoft,MSFT,39.96,39.8,40.27,39.74,37559600,"2014-04-21 17:29:05.669559"
342,4,Microsoft,MSFT,39.75,39.82,39.93,39.2,35918600,"2014-04-19 17:29:05.669559"
343,4,Microsoft,MSFT,39.93,40.47,40.55,39.88,27398700,"2014-04-17 17:29:05.669559"
344,4,Microsoft,MSFT,40.44,39.36,40.69,39.09,45960800,"2014-04-15 17:29:05.669559"
345,4,Microsoft,MSFT,39.0,39.21,39.79,39.0,34330200,"2014-04-13 17:29:05.669559"
346,4,Microsoft,MSFT,39.11,39.18,39.41,38.9,32006600,"2014-04-11 17:29:05.669559"
347,4,Microsoft,MSFT,39.34,39.75,39.96,39.05,33968700,"2014-04-09 17:29:05.669559"
348,4,Microsoft,MSFT,40.06,40.4,40.42,39.91,30615800,"2014-04-07 17:29:05.669559"
349,4,Microsoft,MSFT,40.01,40.01,40.2,39.51,36688400,"2014-04-05 17:29:05.669559"
350,4,Microsoft,MSFT,40.13,39.94,40.15,39.79,22221200,"2014-04-03 17:29:05.669559"
351,4,Microsoft,MSFT,39.96,39.99,40.14,39.83,27056700,"2014-04-01 17:29:05.669559"
352,4,Microsoft,MSFT,39.99,39.69,39.99,39.47,24585300,"2014-03-30 17:29:05.669559"
353,4,Microsoft,MSFT,39.74,39.86,39.97,39.3,42132600,"2014-03-28 17:29:05.669559"
354,4,Microsoft,MSFT,40.29,39.91,40.68,39.75,56876800,"2014-03-26 17:29:05.669559"
355,4,Microsoft,MSFT,40.14,40.87,41.29,40.09,50603200,"2014-03-24 17:29:05.669559"
356,4,Microsoft,MSFT,41.1,40.51,41.19,40.39,29636200,"2014-03-22 17:29:05.669559"
357,4,Microsoft,MSFT,40.4,40.4,40.5,40.17,35458700,"2014-03-20 17:29:05.669559"
358,1,GOOGLE,GOOG,558.71,567.16,568.45,558.71,7900,"2014-04-29 17:29:10.765063"
359,1,GOOGLE,GOOG,599.99,567.0,604.83,562.19,146700,"2014-04-27 17:29:10.765063"
360,1,GOOGLE,GOOG,569.85,569.74,587.28,564.13,5085200,"2014-04-25 17:29:10.765063"
361,1,GOOGLE,GOOG,574.65,543.14,577.77,543.0,6351900,"2014-04-23 17:29:10.765063"
362,1,GOOGLE,GOOG,540.74,538.15,548.48,527.15,4389600,"2014-04-21 17:29:10.765063"
363,1,GOOGLE,GOOG,542.6,554.9,555.0,541.61,3142600,"2014-04-19 17:29:10.765063"
364,1,GOOGLE,GOOG,559.62,564.14,565.37,552.95,3321700,"2014-04-17 17:29:10.765063"
365,1,GOOGLE,GOOG,565.0,540.95,565.0,539.9,4025800,"2014-04-15 17:29:10.765063"
366,1,GOOGLE,GOOG,532.55,530.6,540.0,526.53,3914100,"2014-04-13 17:29:10.765063"
367,1,GOOGLE,GOOG,538.25,532.52,544.1,529.56,2568000,"2014-04-11 17:29:10.765063"
368,1,GOOGLE,GOOG,536.82,536.44,538.45,518.46,3844500,"2014-04-09 17:29:10.765063"
369,1,GOOGLE,GOOG,543.0,556.54,557.0,540.0,4879900,"2014-04-07 17:29:10.765063"
370,1,GOOGLE,GOOG,548.81,536.1,549.5,531.15,6790900,"2014-04-05 17:29:10.765063"
371,1,GOOGLE,GOOG,536.1,528.62,536.7,525.6,2559700,"2014-04-03 17:29:10.765063"
372,1,GOOGLE,GOOG,528.64,534.81,537.23,527.51,2358900,"2014-04-01 17:29:10.765063"
373,1,GOOGLE,GOOG,533.79,526.94,533.87,526.25,2046700,"2014-03-30 17:29:10.765063"
374,1,GOOGLE,GOOG,530.07,525.16,531.65,522.12,1878000,"2014-03-28 17:29:10.765063"
375,1,GOOGLE,GOOG,522.51,516.18,524.7,515.42,2094600,"2014-03-26 17:29:10.765063"
376,1,GOOGLE,GOOG,517.18,517.15,518.6,502.8,3326400,"2014-03-24 17:29:10.765063"
377,1,GOOGLE,GOOG,516.9,527.7,529.46,516.32,2691700,"2014-03-22 17:29:10.765063"
378,1,GOOGLE,GOOG,527.6,526.66,528.0,522.52,1746400,"2014-03-20 17:29:10.765063"
379,2,AMAZON,AMZN,338.09,342.99,344.43,338.0,3600100,"2014-04-29 17:29:15.826655"
